DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
201319953,2020-11-15 00:00:00,2020-11-14 00:00:00,2200,13,Newton,1317,2,624,BATTERY - SIMPLE ASSAULT,1309 1822 2014 0522 1251 0520,19,F,H,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1300 E  WASHINGTON                   BL,,34.0241,-118.25
221115730,2022-10-31 00:00:00,2022-10-28 00:00:00,1757,11,Northeast,1101,1,330,BURGLARY FROM VEHICLE,0344,33,F,B,710.0,OTHER PREMISE,,,IC,Invest Cont,330.0,,,,2800 E  OBSERVATORY                  RD,,34.1192,-118.3004
210121774,2021-12-07 00:00:00,2021-12-07 00:00:00,2240,1,Central,124,1,350,"THEFT, PERSON",2004 1414 2060 1218 0344 1822,31,F,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,350.0,,,,TEMPLE,MAIN                         ST,34.0541,-118.2417
221213619,2022-06-11 00:00:00,2022-06-11 00:00:00,2345,12,77th Street,1239,1,251,SHOTS FIRED AT INHABITED DWELLING,0906 1100 1402 1407,36,F,H,501.0,SINGLE FAMILY DWELLING,106.0,UNKNOWN FIREARM,IC,Invest Cont,251.0,998.0,,,500 W  59TH                         ST,,33.9876,-118.2827
210319015,2021-11-17 00:00:00,2021-11-17 00:00:00,1400,3,Southwest,358,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0344 1822 2032 1251,19,M,W,508.0,FRAT HOUSE/SORORITY/DORMITORY,,,IC,Invest Cont,522.0,,,,1000 W  34TH                         ST,,34.024,-118.2869
242004321,2024-01-11 00:00:00,2024-01-11 00:00:00,420,20,Olympic,2038,1,310,BURGLARY,0216 0209 0206 0342 1609 0344 1822 0315,0,X,X,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310.0,,,,3100    WILSHIRE                     BL,,34.0618,-118.2891
241507815,2024-03-13 00:00:00,2024-03-05 00:00:00,1200,15,N Hollywood,1519,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0400,14,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,627.0,,,,6700    SATSUMA                      AV,,34.1922,-118.3671
200109476,2020-03-20 00:00:00,2020-03-20 00:00:00,2000,1,Central,131,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1414 1206 2002 2000 1814 0416,25,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,100 S  FIGUEROA                     ST,,34.0569,-118.254
231905487,2023-02-06 00:00:00,2021-04-01 00:00:00,533,19,Mission,1917,2,354,THEFT OF IDENTITY,0377,48,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,14100    ORO GRANDE                   ST,,34.3111,-118.4415
211314016,2021-08-09 00:00:00,2021-08-08 00:00:00,2200,13,Newton,1371,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1300 0329 1307,51,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,5200 S  BROADWAY,,33.9924,-118.2772
200211069,2020-06-08 00:00:00,2020-05-01 00:00:00,1,2,Rampart,281,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,1200 S  HOOVER                       ST,,34.0492,-118.2842
211811089,2021-05-26 00:00:00,2021-05-26 00:00:00,2225,18,Southeast,1829,2,901,VIOLATION OF RESTRAINING ORDER,0913 2038 0561,58,F,H,101.0,STREET,,,IC,Invest Cont,901.0,,,,9900    GRAPE                        ST,,33.9466,-118.2367
221415718,2022-08-27 00:00:00,2022-07-28 00:00:00,1700,14,Pacific,1479,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,7800    TOLAND                       AV,,33.966,-118.3752
202104923,2020-01-21 00:00:00,2020-01-20 00:00:00,2345,21,Topanga,2183,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,23100    AVENUE SAN LUIS,,34.1618,-118.6302
230906642,2023-03-08 00:00:00,2023-02-02 00:00:00,1630,9,Van Nuys,919,2,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,0943,0,X,X,210.0,RESTAURANT/FAST FOOD,,,AA,Adult Arrest,822.0,,,,13600    SHERMAN                      WY,,34.2012,-118.4294
231205701,2023-01-23 00:00:00,2023-01-20 00:00:00,1400,12,77th Street,1257,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385,59,F,B,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,7700 S  VERMONT                      AV,,33.9698,-118.2914
220404285,2022-01-10 00:00:00,2022-01-07 00:00:00,2230,4,Hollenbeck,497,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,OLYMPIC                      BL,CAMULOS                      ST,34.0225,-118.2156
240504522,2024-01-15 00:00:00,2024-01-14 00:00:00,1700,5,Harbor,515,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1600    RAVENNA                      AV,,33.7951,-118.2692
230212010,2023-06-07 00:00:00,2023-06-07 00:00:00,1300,2,Rampart,249,2,860,BATTERY WITH SEXUAL CONTACT,2004 1822 0448,47,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,,,,BOYLSTON,3RD                          ST,34.0565,-118.258
210620684,2021-12-22 00:00:00,2021-12-22 00:00:00,200,6,Hollywood,647,1,210,ROBBERY,0334 0344 0346 0432 0355,40,M,B,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,210.0,,,,SELMA,VINE,34.0998,-118.3267
232016639,2023-09-12 00:00:00,2023-09-11 00:00:00,1550,20,Olympic,2027,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394 1822,26,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,600 S  KENMORE                      AV,,34.0636,-118.2966
221219372,2022-09-11 00:00:00,2022-09-11 00:00:00,745,12,77th Street,1259,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 0913 0416 0444 0429 0448,33,M,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,7700    MCKINLEY                     AV,,33.9694,-118.2608
201307138,2020-02-25 00:00:00,2020-02-24 00:00:00,1530,13,Newton,1342,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0417 0913,29,M,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230.0,,,,500 E  35TH                         ST,,34.0154,-118.2678
201417260,2020-09-15 00:00:00,2020-09-05 00:00:00,1200,14,Pacific,1464,1,310,BURGLARY,0344,51,F,W,108.0,PARKING LOT,,,IC,Invest Cont,310.0,,,,12700    MILLENNIUM                   DR,,33.9754,-118.4178
211815524,2021-08-20 00:00:00,2021-08-20 00:00:00,1705,18,Southeast,1861,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0302 0432,53,F,H,103.0,ALLEY,106.0,UNKNOWN FIREARM,IC,Invest Cont,230.0,,,,11600 S  FIGUEROA                     ST,,33.9274,-118.2871
201116079,2020-11-25 00:00:00,2020-11-23 00:00:00,1400,11,Northeast,1158,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1602 1608 0385,43,F,A,101.0,STREET,,,IC,Invest Cont,331.0,,,,800    ISABEL                       ST,,34.0951,-118.2171
210904160,2021-01-05 00:00:00,2021-01-05 00:00:00,1800,9,Van Nuys,923,1,310,BURGLARY,0329,52,F,W,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,310.0,,,,14600    HAMLIN                       ST,,34.1887,-118.4531
231417070,2023-09-11 00:00:00,2023-09-11 00:00:00,500,14,Pacific,1494,2,762,LEWD CONDUCT,0528 2004,33,M,W,212.0,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,762.0,,,,100    WORLD                        WY,,33.9455,-118.4004
210414134,2021-10-21 00:00:00,2021-10-21 00:00:00,2155,4,Hollenbeck,426,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1814 0340 0448 0444 0429 1243 0913,38,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,3400    LINDA VISTA,,34.0851,-118.1722
240307011,2024-02-29 00:00:00,2024-02-28 00:00:00,900,3,Southwest,311,1,761,BRANDISH WEAPON,0334 0421 1822 0432,39,M,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",201.0,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,761.0,930.0,,,3300    LA CIENEGA                   BL,,34.0282,-118.372
231213478,2023-06-07 00:00:00,2023-04-24 00:00:00,1736,12,77th Street,1267,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0913 1258 1251,13,F,B,704.0,ELEMENTARY SCHOOL,,,IC,Invest Cont,440.0,,,,8500 S  FIGUEROA                     ST,,33.9611,-118.2827
230309993,2023-04-26 00:00:00,2023-04-26 00:00:00,845,3,Southwest,357,2,888,TRESPASSING,2052 0910 1822,22,X,X,945.0,MTA - EXPO LINE - EXPO/VERMONT,,,AO,Adult Other,888.0,,,,1000    EXPOSITION                   BL,,34.0184,-118.2952
230310741,2023-05-11 00:00:00,2023-05-11 00:00:00,1610,3,Southwest,398,2,901,VIOLATION OF RESTRAINING ORDER,0913 2038 1310 2000 1814,38,F,H,101.0,STREET,,,IC,Invest Cont,901.0,,,,600 W  MARTIN LUTHER KING JR        BL,,34.0111,-118.2843
201015447,2020-11-23 00:00:00,2020-11-10 00:00:00,2210,10,West Valley,1004,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 0394,20,M,H,104.0,DRIVEWAY,,,IC,Invest Cont,440.0,,,,18400    STRATHERN                    ST,,34.2157,-118.5322
221105946,2022-02-22 00:00:00,2022-02-20 00:00:00,2213,11,Northeast,1105,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,52,M,W,102.0,SIDEWALK,,,IC,Invest Cont,341.0,,,,2700 W  BROADWAY,,34.1442,-118.218
230307126,2023-03-01 00:00:00,2023-02-27 00:00:00,1730,3,Southwest,338,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 0344 1822 1251,22,F,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,420.0,,,,1300 W  29TH                         ST,,34.0284,-118.2891
201613986,2020-10-19 00:00:00,2020-10-18 00:00:00,2120,16,Foothill,1602,1,761,BRANDISH WEAPON,0334 1822,22,F,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,761.0,,,,12800    MONTFORD                     ST,,34.2824,-118.4112
210122465,2021-12-17 00:00:00,2021-12-15 00:00:00,2000,1,Central,139,2,946,OTHER MISCELLANEOUS CRIME,0913 0553 0447,13,M,H,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,946.0,,,,300 S  SANTA FE                     AV,,34.0439,-118.2326
221312807,2022-06-13 00:00:00,2022-06-11 00:00:00,1800,13,Newton,1313,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,20TH,CENTRAL,34.0237,-118.2512
201416299,2020-08-29 00:00:00,2020-08-29 00:00:00,150,14,Pacific,1494,2,888,TRESPASSING,1501,0,X,X,212.0,TRANSPORTATION FACILITY (AIRPORT),,,IC,Invest Cont,888.0,,,,400    WORLD WAY,,33.9431,-118.4081
231614598,2023-12-01 00:00:00,2023-07-15 00:00:00,1045,16,Foothill,1675,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,46,F,H,108.0,PARKING LOT,,,IC,Invest Cont,740.0,,,,8800    SUNLAND                      BL,,34.2309,-118.3727
211013671,2021-10-23 00:00:00,2021-10-23 00:00:00,622,10,West Valley,1015,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,17900    COHASSET                     ST,,34.2066,-118.5241
221404525,2022-01-11 00:00:00,2022-01-11 00:00:00,900,14,Pacific,1445,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,77,M,H,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,12700    MATTESON                     AV,,33.9997,-118.4367
210215923,2021-10-10 00:00:00,2021-10-04 00:00:00,900,2,Rampart,233,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,200 S  OCCIDENTAL                   BL,,34.0677,-118.282
231905091,2023-01-28 00:00:00,2023-01-22 00:00:00,1100,19,Mission,1958,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 2004,33,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,14200    VAN NUYS                     BL,,34.251,-118.4428
230816025,2023-10-24 00:00:00,2023-10-24 00:00:00,1020,8,West LA,853,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,0,X,X,102.0,SIDEWALK,,,IC,Invest Cont,745.0,,,,11500    SANTA MONICA                 BL,,34.0455,-118.4519
220309460,2022-04-21 00:00:00,2022-04-21 00:00:00,1855,3,Southwest,354,2,900,VIOLATION OF COURT ORDER,0913 0602 0561 2038 0915 2004,65,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,900.0,,,,3600    5TH                          AV,,34.0229,-118.3224
241505038,2024-01-21 00:00:00,2024-01-20 00:00:00,1815,15,N Hollywood,1512,1,310,BURGLARY,1822 1609 0321 0344,52,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,6700    GOODLAND                     AV,,34.1917,-118.4119
220714058,2022-09-13 00:00:00,2022-09-02 00:00:00,2016,7,Wilshire,749,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0325,27,X,X,403.0,DRUG STORE,,,IC,Invest Cont,442.0,,,,900    CRENSHAW                     BL,,34.0585,-118.3262
211604052,2021-01-03 00:00:00,2020-11-01 00:00:00,830,16,Foothill,1638,2,354,THEFT OF IDENTITY,0344 0100 0377 0930 1822,95,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,10300    COMMERCE                     AV,,34.2559,-118.2886
201208203,2020-03-01 00:00:00,2020-03-01 00:00:00,300,12,77th Street,1273,1,330,BURGLARY FROM VEHICLE,1307 1300 0329 0344 1609,52,F,B,101.0,STREET,,,IC,Invest Cont,330.0,,,,91ST                         ST,MANHATTAN                    PL,33.9545,-118.3101
230311647,2023-06-01 00:00:00,2023-06-01 00:00:00,620,3,Southwest,393,2,354,THEFT OF IDENTITY,1822 0100,36,M,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,4100    GARTHWAITE                   AV,,34.0094,-118.3231
211221838,2021-10-14 00:00:00,2021-01-30 00:00:00,1820,12,77th Street,1211,1,110,CRIMINAL HOMICIDE,0430 0906 0302 1822 1309 1313 0342,42,M,B,104.0,DRIVEWAY,101.0,REVOLVER,IC,Invest Cont,110.0,,,,5300    11TH                         AV,,33.9931,-118.3294
211111710,2021-08-09 00:00:00,2021-08-09 00:00:00,500,11,Northeast,1125,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,51,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,1300    ARMADALE                     AV,,34.1194,-118.2133
210605570,2021-02-07 00:00:00,2021-02-07 00:00:00,2125,6,Hollywood,622,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822 1501 1402 0338,57,M,W,501.0,SINGLE FAMILY DWELLING,218.0,OTHER CUTTING INSTRUMENT,IC,Invest Cont,745.0,998.0,,,1800 N  STANLEY                      AV,,34.1029,-118.3568
211910930,2021-07-12 00:00:00,2021-07-12 00:00:00,1900,19,Mission,1983,1,480,BIKE - STOLEN,0344 1606,39,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480.0,,,,8300    BURNET                       AV,,34.2215,-118.4633
200614221,2020-08-20 00:00:00,2020-08-20 00:00:00,2200,6,Hollywood,645,1,210,ROBBERY,0344 0325 0416 1822,0,X,X,203.0,OTHER BUSINESS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,210.0,,,,HIGHLAND,HOLLYWOOD,34.1016,-118.3387
211407742,2021-03-07 00:00:00,2021-03-07 00:00:00,1100,14,Pacific,1437,2,354,THEFT OF IDENTITY,1402 1501,0,X,X,602.0,BANK,,,IC,Invest Cont,354.0,,,,11100    PALMS                        BL,,34.0198,-118.4212
221005220,2022-02-01 00:00:00,2022-02-01 00:00:00,1700,10,West Valley,1097,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 1814 0400 0417 2000,39,F,W,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,17300    QUESAN                       PL,,34.1509,-118.5089
200511190,2020-06-29 00:00:00,2020-06-29 00:00:00,330,5,Harbor,526,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,400 W  OPP                          ST,,33.7827,-118.2673
201615800,2020-12-18 00:00:00,2020-11-12 00:00:00,1230,16,Foothill,1654,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,12500    MONTAGUE                     ST,,34.2522,-118.4051
220105161,2022-01-20 00:00:00,2022-01-19 00:00:00,2300,1,Central,101,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1606,32,F,H,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,900    FIGUEROA                     TR,,34.0663,-118.2442
240805652,2024-02-05 00:00:00,2024-02-04 00:00:00,500,8,West LA,884,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0326,49,F,H,710.0,OTHER PREMISE,,,IC,Invest Cont,740.0,,,,2200    WESTWOOD                     BL,,34.0439,-118.4317
210212470,2021-07-26 00:00:00,2021-07-23 00:00:00,1800,2,Rampart,217,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,37,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,740.0,,,,1900    SANTA YNEZ                   ST,,34.0748,-118.2633
201204241,2020-01-04 00:00:00,2020-01-04 00:00:00,420,12,77th Street,1256,2,901,VIOLATION OF RESTRAINING ORDER,2038 1813 0216,40,F,H,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,901.0,,,,600 W  FLORENCE                     AV,,33.9747,-118.2838
221109326,2022-05-18 00:00:00,2022-05-18 00:00:00,1500,11,Northeast,1102,1,210,ROBBERY,0390 0344,32,F,O,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,210.0,,,,3100    LOS FELIZ                    BL,,34.1245,-118.2665
221614202,2022-11-11 00:00:00,2022-09-29 00:00:00,1515,16,Foothill,1622,2,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",,0,,,203.0,OTHER BUSINESS,,,IC,Invest Cont,668.0,,,,11000    SAN FERNANDO                 RD,,34.2699,-118.4262
231305677,2023-02-03 00:00:00,2023-01-31 00:00:00,1230,13,Newton,1367,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,51,F,H,708.0,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),,,IC,Invest Cont,745.0,,,,4500    COMPTON                      AV,,34.0027,-118.2478
220116519,2022-07-19 00:00:00,2022-07-18 00:00:00,1200,1,Central,156,2,625,OTHER ASSAULT,1218 0416 1206 1822,53,M,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,625.0,,,,5TH,SAN JULIAN,34.0446,-118.245
210911635,2021-07-14 00:00:00,2021-07-11 00:00:00,1930,9,Van Nuys,964,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0354 1420 0344,30,F,H,727.0,SHOPPING MALL (COMMON AREA),,,IC,Invest Cont,341.0,,,,14000    RIVERSIDE                    DR,,34.1576,-118.4389
230914797,2023-09-30 00:00:00,2023-09-29 00:00:00,1540,9,Van Nuys,941,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1822,0,X,X,404.0,DEPARTMENT STORE,,,IC,Invest Cont,343.0,,,,5700 N  SEPULVEDA                    BL,,34.174,-118.4661
200814103,2020-09-14 00:00:00,2020-09-12 00:00:00,1200,8,West LA,834,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,25,F,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,1400    SELBY                        AV,,34.0574,-118.437
200609788,2020-05-03 00:00:00,2020-05-03 00:00:00,743,6,Hollywood,638,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,48,F,O,403.0,DRUG STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,740.0,,,,1800 N  WESTERN                      AV,,34.1038,-118.3151
210317099,2021-10-08 00:00:00,2021-10-08 00:00:00,1130,3,Southwest,375,1,761,BRANDISH WEAPON,0603 0913 0443,40,M,B,101.0,STREET,511.0,VERBAL THREAT,AO,Adult Other,761.0,930.0,,,1600 W  38TH                         PL,,34.0164,-118.311
221212523,2022-05-25 00:00:00,2022-05-25 00:00:00,2255,12,77th Street,1259,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0400 0329 0913,27,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,745.0,,,,700 E  75TH                         ST,,33.9721,-118.263
221611851,2022-08-28 00:00:00,2022-08-15 00:00:00,1,16,Foothill,1611,2,354,THEFT OF IDENTITY,1822 0926 0928,35,M,H,248.0,CELL PHONE STORE,,,IC,Invest Cont,354.0,,,,13300    DESMOND                      ST,,34.2784,-118.4241
241804333,2024-01-06 00:00:00,2024-01-06 00:00:00,1000,18,Southeast,1832,1,220,ATTEMPTED ROBBERY,1822 0216 0416 1300 1302 0329 1307 1310 0337,44,M,H,101.0,STREET,311.0,HAMMER,IC,Invest Cont,220.0,,,,FIGUEROA,107TH                        ST,33.9392,-118.2826
